timestamp,endpoint,position,candidate,mean_us,stdev_us,n_samples,p_value,winner,conclusive,recovered_so_far
2026-07-20T09:29:08.990981+00:00,local,0,a,25516.24027809238,2105.897632575318,80,,False,True,X
2026-07-20T09:29:08.991042+00:00,local,0,b,26416.465277078612,2625.718754293621,80,,False,True,X
2026-07-20T09:29:08.991064+00:00,local,0,c,25607.402776788353,1999.7274666167282,80,,False,True,X
2026-07-20T09:29:08.991085+00:00,local,0,d,26377.608333859826,2563.183915498415,80,,False,True,X
2026-07-20T09:29:08.991100+00:00,local,0,e,25529.69305624073,1727.969756692305,80,,False,True,X
2026-07-20T09:29:08.991115+00:00,local,0,f,25843.50694451132,2245.89643451058,80,,False,True,X
2026-07-20T09:29:08.991129+00:00,local,0,g,26166.905555833688,3182.488321086386,80,,False,True,X
2026-07-20T09:29:08.991147+00:00,local,0,h,25991.90277881765,1771.8666179783156,80,,False,True,X
2026-07-20T09:29:08.991162+00:00,local,0,i,26177.881944628705,2193.6076699564605,80,,False,True,X
2026-07-20T09:29:08.991176+00:00,local,0,j,25200.102777792683,4631.512763733656,80,,False,True,X
2026-07-20T09:29:08.991190+00:00,local,0,k,26331.013888921007,2812.75339276336,80,,False,True,X
2026-07-20T09:29:08.991205+00:00,local,0,l,27296.91249947387,3433.8303232207727,80,,False,True,X
2026-07-20T09:29:08.991219+00:00,local,0,m,27183.80416546198,5468.472899870287,80,,False,True,X
2026-07-20T09:29:08.991233+00:00,local,0,n,26759.915277984368,6073.451971671015,80,,False,True,X
2026-07-20T09:29:08.991248+00:00,local,0,o,25571.22777741622,2270.4569739732565,80,,False,True,X
2026-07-20T09:29:08.991261+00:00,local,0,p,26053.358333431082,2349.3808957569336,80,,False,True,X
2026-07-20T09:29:08.991275+00:00,local,0,q,27674.047221605884,6051.874966336444,80,,False,True,X
2026-07-20T09:29:08.991290+00:00,local,0,r,25298.63333317432,1906.510965160107,80,,False,True,X
2026-07-20T09:29:08.991303+00:00,local,0,s,25331.587499951842,2277.0829643926504,80,,False,True,X
2026-07-20T09:29:08.991317+00:00,local,0,t,26440.85833364645,3258.5730920517435,80,,False,True,X
2026-07-20T09:29:08.991331+00:00,local,0,u,25844.661111073543,2497.156176389264,80,,False,True,X
2026-07-20T09:29:08.991345+00:00,local,0,v,26022.226388603383,3676.278924423509,80,,False,True,X
2026-07-20T09:29:08.991358+00:00,local,0,w,26418.96111041812,2846.8859066168006,80,,False,True,X
2026-07-20T09:29:08.991372+00:00,local,0,x,26847.13611072059,3762.1703273075427,80,,False,True,X
2026-07-20T09:29:08.991385+00:00,local,0,y,27277.736112106748,3956.710267334965,80,,False,True,X
2026-07-20T09:29:08.991399+00:00,local,0,z,24913.265278478826,3201.76088604659,80,,False,True,X
2026-07-20T09:29:08.991413+00:00,local,0,A,26151.615277639292,2972.877559623897,80,,False,True,X
2026-07-20T09:29:08.991428+00:00,local,0,B,26376.88749988835,3803.8667419796443,80,,False,True,X
